route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
12868,c_18162_b_none_d_127,508X,508X,San Jose Diridon Caltrain Station,1,,p_692605,,,,,,,,,,
12867,c_18162_b_none_d_127,691X,691X,San Francisco,0,,p_898240,,,,,,,,,,
12867,c_18162_b_none_d_127,801X,801X,San Francisco Caltrain Station,0,,p_692593,,,,,,,,,,
12867,c_18162_b_none_d_127,802X,802X,San Jose Diridon Caltrain Station,1,,p_692583,,,,,,,,,,
12867,c_18162_b_none_d_127,803X,803X,San Francisco Caltrain Station,0,,p_692593,,,,,,,,,,
12867,c_18162_b_none_d_127,804X,804X,San Jose Diridon Caltrain Station,1,,p_692583,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle422X,shuttle422X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle423X,shuttle423X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle424X,shuttle424X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle425X,shuttle425X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle426X,shuttle426X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle427X,shuttle427X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle428X,shuttle428X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle429X,shuttle429X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle430X,shuttle430X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle431X,shuttle431X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle432X,shuttle432X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle433X,shuttle433X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle435X,shuttle435X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle437X,shuttle437X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle438X,shuttle438X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle439X,shuttle439X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle441X,shuttle441X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle501X,shuttle501X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle502X,shuttle502X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle503X,shuttle503X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle504X,shuttle504X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle505X,shuttle505X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle507X,shuttle507X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle508X,shuttle508X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle801X,shuttle801X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle802X,shuttle802X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle803X,shuttle803X,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_18162_b_none_d_127,shuttle804X,shuttle804X,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12867,c_16884_b_19708_d_96,801,801,San Francisco Caltrain Station,0,,p_692593,,,,,,,,,,
12867,c_16884_b_19708_d_96,803,803,San Francisco Caltrain Station,0,,p_692593,,,,,,,,,,
12867,c_16884_b_19708_d_96,802,802,San Jose Diridon Caltrain Station,1,,p_692583,,,,,,,,,,
12867,c_16884_b_19708_d_96,804,804,San Jose Diridon Caltrain Station,1,,p_692583,,,,,,,,,,
12867,c_17997_b_22470_d_31,381,381,San Francisco Caltrain Station,0,,p_692597,,,,,,,,,,
12867,c_17997_b_22470_d_31,365,365,San Francisco Caltrain Station,0,,p_692576,,,,,,,,,,
12867,c_17997_b_22470_d_31,375,375,San Francisco Caltrain Station,0,,p_692576,,,,,,,,,,
12867,c_17997_b_22470_d_31,385,385,San Francisco Caltrain Station,0,,p_692576,,,,,,,,,,
12867,c_17997_b_22470_d_31,323,323,San Francisco Caltrain Station,0,,p_692594,,,,,,,,,,
12867,c_17997_b_22470_d_31,305,305,San Francisco Caltrain Station,0,,p_692594,,,,,,,,,,
12867,c_17997_b_22470_d_31,309,309,San Francisco Caltrain Station,0,,p_692621,,,,,,,,,,
12867,c_17997_b_22470_d_31,313,313,San Francisco Caltrain Station,0,,p_692594,,,,,,,,,,
12867,c_17997_b_22470_d_31,319,319,San Francisco Caltrain Station,0,,p_692621,,,,,,,,,,
12867,c_17997_b_22470_d_31,329,329,San Francisco Caltrain Station,0,,p_692621,,,,,,,,,,
12867,c_17997_b_22470_d_31,371,371,San Francisco Caltrain Station,0,,p_692597,,,,,,,,,,
12867,c_17997_b_22470_d_31,320,320,Tamien Caltrain Station,1,,p_692599,,,,,,,,,,
12867,c_17997_b_22470_d_31,324,324,San Jose Diridon Caltrain Station,1,,p_692608,,,,,,,,,,
12867,c_17997_b_22470_d_31,366,366,Tamien Caltrain Station,1,,p_692620,,,,,,,,,,
12867,c_17997_b_22470_d_31,376,376,Tamien Caltrain Station,1,,p_692620,,,,,,,,,,
12867,c_17997_b_22470_d_31,360,360,San Jose Diridon Caltrain Station,1,,p_692601,,,,,,,,,,
12867,c_17997_b_22470_d_31,370,370,San Jose Diridon Caltrain Station,1,,p_692601,,,,,,,,,,
12867,c_17997_b_22470_d_31,380,380,San Jose Diridon Caltrain Station,1,,p_692601,,,,,,,,,,
12867,c_17997_b_22470_d_31,314,314,San Jose Diridon Caltrain Station,1,,p_692608,,,,,,,,,,
12867,c_17997_b_22470_d_31,386,386,Tamien Caltrain Station,1,,p_692620,,,,,,,,,,
12867,c_17997_b_22470_d_31,310,310,Tamien Caltrain Station,1,,p_692599,,,,,,,,,,
12867,c_17997_b_22470_d_31,330,330,Tamien Caltrain Station,1,,p_692599,,,,,,,,,,
12868,c_17997_b_22470_d_31,225,225,San Francisco Caltrain Station,0,,p_692591,,,,,,,,,,
12868,c_17997_b_22470_d_31,257,257,San Francisco Caltrain Station,0,,p_692570,,,,,,,,,,
12868,c_17997_b_22470_d_31,263,263,San Francisco Caltrain Station,0,,p_692574,,,,,,,,,,
12868,c_17997_b_22470_d_31,267,267,San Francisco Caltrain Station,0,,p_692619,,,,,,,,,,
12868,c_17997_b_22470_d_31,269,269,San Francisco Caltrain Station,0,,p_692587,,,,,,,,,,
12868,c_17997_b_22470_d_31,273,273,San Francisco Caltrain Station,0,,p_692574,,,,,,,,,,
12868,c_17997_b_22470_d_31,277,277,San Francisco Caltrain Station,0,,p_692619,,,,,,,,,,
12868,c_17997_b_22470_d_31,283,283,San Francisco Caltrain Station,0,,p_692574,,,,,,,,,,
12868,c_17997_b_22470_d_31,287,287,San Francisco Caltrain Station,0,,p_692581,,,,,,,,,,
12868,c_17997_b_22470_d_31,231,231,San Francisco Caltrain Station,0,,p_692596,,,,,,,,,,
12868,c_17997_b_22470_d_31,233,233,San Francisco Caltrain Station,0,,p_692570,,,,,,,,,,
12868,c_17997_b_22470_d_31,217,217,San Francisco Caltrain Station,0,,p_692611,,,,,,,,,,
12868,c_17997_b_22470_d_31,207,207,San Francisco Caltrain Station,0,,p_692612,,,,,,,,,,
12868,c_17997_b_22470_d_31,289,289,San Francisco Caltrain Station,0,,p_692627,,,,,,,,,,
12868,c_17997_b_22470_d_31,261,261,San Francisco Caltrain Station,0,,p_692587,,,,,,,,,,
12868,c_17997_b_22470_d_31,227,227,San Francisco Caltrain Station,0,,p_692588,,,,,,,,,,
12868,c_17997_b_22470_d_31,211,211,San Francisco Caltrain Station,0,,p_692577,,,,,,,,,,
12868,c_17997_b_22470_d_31,279,279,San Francisco Caltrain Station,0,,p_692587,,,,,,,,,,
12868,c_17997_b_22470_d_31,221,221,San Francisco Caltrain Station,0,,p_692607,,,,,,,,,,
12868,c_17997_b_22470_d_31,215,215,San Francisco Caltrain Station,0,,p_692591,,,,,,,,,,
12868,c_17997_b_22470_d_31,237,237,San Francisco Caltrain Station,0,,p_692570,,,,,,,,,,
12868,c_17997_b_22470_d_31,226,226,San Jose Diridon Caltrain Station,1,,p_692580,,,,,,,,,,
12868,c_17997_b_22470_d_31,228,228,San Jose Diridon Caltrain Station,1,,p_692592,,,,,,,,,,
12868,c_17997_b_22470_d_31,212,212,San Jose Diridon Caltrain Station,1,,p_692613,,,,,,,,,,
12868,c_17997_b_22470_d_31,264,264,San Jose Diridon Caltrain Station,1,,p_692600,,,,,,,,,,
12868,c_17997_b_22470_d_31,232,232,San Jose Diridon Caltrain Station,1,,p_692617,,,,,,,,,,
12868,c_17997_b_22470_d_31,284,284,San Jose Diridon Caltrain Station,1,,p_692600,,,,,,,,,,
12868,c_17997_b_22470_d_31,216,216,San Jose Diridon Caltrain Station,1,,p_692580,,,,,,,,,,
12868,c_17997_b_22470_d_31,218,218,San Jose Diridon Caltrain Station,1,,p_692592,,,,,,,,,,
12868,c_17997_b_22470_d_31,208,208,San Jose Diridon Caltrain Station,1,,p_692592,,,,,,,,,,
12868,c_17997_b_22470_d_31,258,258,Tamien Caltrain Station,1,,p_692579,,,,,,,,,,
12868,c_17997_b_22470_d_31,206,206,San Jose Diridon Caltrain Station,1,,p_692590,,,,,,,,,,
12868,c_17997_b_22470_d_31,236,236,Tamien Caltrain Station,1,,p_692579,,,,,,,,,,
12868,c_17997_b_22470_d_31,254,254,Tamien Caltrain Station,1,,p_692579,,,,,,,,,,
12868,c_17997_b_22470_d_31,262,262,Gilroy Caltrain Station,1,,p_787751,,,,,,,,,,
12868,c_17997_b_22470_d_31,268,268,Gilroy Caltrain Station,1,,p_692598,,,,,,,,,,
12868,c_17997_b_22470_d_31,272,272,San Jose Diridon Caltrain Station,1,,p_692578,,,,,,,,,,
12868,c_17997_b_22470_d_31,274,274,Gilroy Caltrain Station,1,,p_787752,,,,,,,,,,
12868,c_17997_b_22470_d_31,278,278,Tamien Caltrain Station,1,,p_692582,,,,,,,,,,
12868,c_17997_b_22470_d_31,282,282,San Jose Diridon Caltrain Station,1,,p_692571,,,,,,,,,,
12868,c_17997_b_22470_d_31,288,288,Tamien Caltrain Station,1,,p_692582,,,,,,,,,,
12868,c_17997_b_22470_d_31,222,222,San Jose Diridon Caltrain Station,1,,p_692589,,,,,,,,,,
12869,c_16883_b_19709_d_32,421,421,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16883_b_19709_d_32,443,443,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16883_b_19709_d_32,442,442,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16883_b_19709_d_32,444,444,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,429,429,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,425,425,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,427,427,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,435,435,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,437,437,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,431,431,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,439,439,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,423,423,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,433,433,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,441,441,San Francisco Caltrain Station,0,,p_692609,,,,,,,,,,
12869,c_16884_b_19708_d_96,422,422,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,432,432,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,434,434,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,430,430,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,440,440,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,428,428,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,438,438,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,426,426,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,436,436,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_16884_b_19708_d_96,424,424,San Jose Diridon Caltrain Station,1,,p_692623,,,,,,,,,,
12869,c_17997_b_22470_d_31,135,135,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,139,139,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,101,101,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,159,159,San Francisco Caltrain Station,0,,p_692572,,,,,,,,,,
12869,c_17997_b_22470_d_31,103,103,San Francisco Caltrain Station,0,,p_692622,,,,,,,,,,
12869,c_17997_b_22470_d_31,195,195,San Francisco Caltrain Station,0,,p_692622,,,,,,,,,,
12869,c_17997_b_22470_d_31,197,197,San Francisco Caltrain Station,0,,p_692622,,,,,,,,,,
12869,c_17997_b_22470_d_31,199,199,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,191,191,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,193,193,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,155,155,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,151,151,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,147,147,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,143,143,San Francisco Caltrain Station,0,,p_692602,,,,,,,,,,
12869,c_17997_b_22470_d_31,198,198,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,156,156,Gilroy Caltrain Station,1,,p_692573,,,,,,,,,,
12869,c_17997_b_22470_d_31,192,192,Tamien Caltrain Station,1,,p_692606,,,,,,,,,,
12869,c_17997_b_22470_d_31,194,194,Tamien Caltrain Station,1,,p_692606,,,,,,,,,,
12869,c_17997_b_22470_d_31,104,104,Tamien Caltrain Station,1,,p_692606,,,,,,,,,,
12869,c_17997_b_22470_d_31,138,138,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,142,142,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,146,146,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,150,150,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,152,152,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,102,102,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,134,134,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,190,190,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12869,c_17997_b_22470_d_31,196,196,San Jose Diridon Caltrain Station,1,,p_692625,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle433,shuttle433,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle425,shuttle425,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle437,shuttle437,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle427,shuttle427,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle439,shuttle439,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle441,shuttle441,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle429,shuttle429,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle801,shuttle801,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle431,shuttle431,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle803,shuttle803,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle423,shuttle423,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle435,shuttle435,San Jose Diridon Caltrain Station,0,,p_692575,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle434,shuttle434,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle424,shuttle424,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle804,shuttle804,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle422,shuttle422,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle432,shuttle432,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle426,shuttle426,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle438,shuttle438,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle430,shuttle430,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle802,shuttle802,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12870,c_16884_b_19708_d_96,shuttle428,shuttle428,Tamien Caltrain Station,1,,p_692614,,,,,,,,,,
12871,c_18161_b_none_d_127,674,674,San Jose Diridon Caltrain Station,1,,p_787218,,,,,,,,,,
